transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.986,0.982,0.99,0.9985360000000001,0
jpeg_q90,1000,0.983,0.976,0.99,0.9980600000000001,0
jpeg_q70,1000,0.98,0.976,0.984,0.998096,0
jpeg_q50,1000,0.984,0.98,0.988,0.9985040000000001,0
jpeg_q30,1000,0.984,0.988,0.98,0.9987,0
blur_s0.5,1000,0.988,0.986,0.99,0.998968,0
blur_s1.0,1000,0.989,0.988,0.99,0.998936,0
blur_s2.0,1000,0.978,0.972,0.984,0.9975080000000001,0
resize_0.5x,1000,0.988,0.986,0.99,0.99892,0
resize_0.25x,1000,0.985,0.988,0.982,0.99862,0
noise_s0.02,1000,0.976,0.992,0.96,0.997732,0
noise_s0.05,1000,0.967,0.994,0.94,0.9965520000000001,0
noise_s0.1,1000,0.965,0.996,0.934,0.9963360000000001,0
jitter_20pct,1000,0.983,0.976,0.99,0.997924,0
crop_80pct,1000,0.976,0.98,0.972,0.99722,0
