transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.963,0.954,0.972,0.99498,0
jpeg_q90,1000,0.969,0.966,0.972,0.995524,0
jpeg_q70,1000,0.962,0.968,0.956,0.995796,0
jpeg_q50,1000,0.972,0.976,0.968,0.9968,0
jpeg_q30,1000,0.969,0.984,0.954,0.996732,0
blur_s0.5,1000,0.973,0.974,0.972,0.996504,0
blur_s1.0,1000,0.976,0.98,0.972,0.996896,0
blur_s2.0,1000,0.96,0.962,0.958,0.9933759999999999,0
resize_0.5x,1000,0.966,0.962,0.97,0.9958159999999999,0
resize_0.25x,1000,0.972,0.98,0.964,0.996556,0
jitter_20pct,1000,0.959,0.948,0.97,0.9943120000000001,0
crop_80pct,1000,0.948,0.976,0.92,0.99318,0
