transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.914,0.872,0.956,0.98268,0
jpeg_q90,1000,0.92,0.878,0.962,0.9819680000000001,0
jpeg_q70,1000,0.928,0.894,0.962,0.9845999999999999,0
jpeg_q50,1000,0.922,0.88,0.964,0.9817119999999999,0
jpeg_q30,1000,0.935,0.92,0.95,0.984336,0
blur_s0.5,1000,0.932,0.908,0.956,0.987124,0
blur_s1.0,1000,0.937,0.92,0.954,0.9881840000000002,0
blur_s2.0,1000,0.915,0.89,0.94,0.976536,0
resize_0.5x,1000,0.916,0.872,0.96,0.9817840000000001,0
resize_0.25x,1000,0.925,0.894,0.956,0.9832879999999999,0
jitter_20pct,1000,0.923,0.888,0.958,0.982388,0
crop_80pct,1000,0.915,0.912,0.918,0.976808,0
