transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.942,0.986,0.898,0.993872,0
jpeg_q90,1000,0.948,0.994,0.902,0.993908,0
jpeg_q70,1000,0.941,0.992,0.89,0.994704,0
jpeg_q50,1000,0.944,0.99,0.898,0.995096,0
jpeg_q30,1000,0.936,0.996,0.876,0.995844,0
blur_s0.5,1000,0.946,0.994,0.898,0.9956119999999999,0
blur_s1.0,1000,0.94,0.994,0.886,0.9961760000000001,0
blur_s2.0,1000,0.931,0.99,0.872,0.993704,0
resize_0.5x,1000,0.943,0.984,0.902,0.9944,0
resize_0.25x,1000,0.939,0.992,0.886,0.9961880000000001,0
jitter_20pct,1000,0.939,0.988,0.89,0.99368,0
crop_80pct,1000,0.908,0.99,0.826,0.991128,0
