transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.898,0.812,0.984,0.983872,0
jpeg_q90,1000,0.893,0.804,0.982,0.9823919999999999,0
jpeg_q70,1000,0.91,0.836,0.984,0.985356,0
jpeg_q50,1000,0.88,0.782,0.978,0.982448,0
jpeg_q30,1000,0.91,0.84,0.98,0.985324,0
blur_s0.5,1000,0.916,0.85,0.982,0.9879519999999999,0
blur_s1.0,1000,0.928,0.876,0.98,0.989048,0
blur_s2.0,1000,0.902,0.826,0.978,0.978284,0
resize_0.5x,1000,0.9,0.814,0.986,0.983356,0
resize_0.25x,1000,0.898,0.816,0.98,0.9842799999999999,0
jitter_20pct,1000,0.9,0.818,0.982,0.9841,0
crop_80pct,1000,0.901,0.846,0.956,0.977476,0
