transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.959,0.96,0.958,0.994312,0
jpeg_q90,1000,0.961,0.962,0.96,0.994372,0
jpeg_q70,1000,0.962,0.97,0.954,0.994832,0
jpeg_q50,1000,0.966,0.972,0.96,0.994968,0
jpeg_q30,1000,0.964,0.986,0.942,0.99586,0
blur_s0.5,1000,0.971,0.982,0.96,0.9960880000000001,0
blur_s1.0,1000,0.973,0.986,0.96,0.997088,0
blur_s2.0,1000,0.959,0.984,0.934,0.9950800000000001,0
resize_0.5x,1000,0.968,0.976,0.96,0.996,0
resize_0.25x,1000,0.968,0.988,0.948,0.997636,0
jitter_20pct,1000,0.958,0.958,0.958,0.993944,0
crop_80pct,1000,0.945,0.978,0.912,0.99194,0
