transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.912,0.862,0.962,0.983536,0
jpeg_q90,1000,0.918,0.87,0.966,0.983024,0
jpeg_q70,1000,0.928,0.89,0.966,0.985412,0
jpeg_q50,1000,0.918,0.864,0.972,0.982516,0
jpeg_q30,1000,0.94,0.916,0.964,0.985068,0
blur_s0.5,1000,0.93,0.9,0.96,0.9877879999999999,0
blur_s1.0,1000,0.941,0.92,0.962,0.989116,0
blur_s2.0,1000,0.914,0.878,0.95,0.9781160000000001,0
resize_0.5x,1000,0.913,0.864,0.962,0.982788,0
resize_0.25x,1000,0.926,0.886,0.966,0.985036,0
jitter_20pct,1000,0.925,0.878,0.972,0.983976,0
crop_80pct,1000,0.917,0.906,0.928,0.977796,0
