transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.954,0.97,0.938,0.992864,0
jpeg_q90,1000,0.954,0.972,0.936,0.993228,0
jpeg_q70,1000,0.958,0.984,0.932,0.994148,0
jpeg_q50,1000,0.957,0.982,0.932,0.9943519999999999,0
jpeg_q30,1000,0.956,0.992,0.92,0.995224,0
blur_s0.5,1000,0.959,0.984,0.934,0.994964,0
blur_s1.0,1000,0.956,0.988,0.924,0.9957,0
blur_s2.0,1000,0.943,0.978,0.908,0.992332,0
resize_0.5x,1000,0.959,0.974,0.944,0.99364,0
resize_0.25x,1000,0.955,0.984,0.926,0.9957720000000001,0
jitter_20pct,1000,0.952,0.966,0.938,0.992544,0
crop_80pct,1000,0.924,0.978,0.87,0.989832,0
