transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.966,0.94,0.992,0.997012,0
jpeg_q90,1000,0.972,0.95,0.994,0.99682,0
jpeg_q70,1000,0.977,0.964,0.99,0.9968840000000001,0
jpeg_q50,1000,0.973,0.956,0.99,0.9975560000000001,0
jpeg_q30,1000,0.98,0.974,0.986,0.997736,0
blur_s0.5,1000,0.98,0.968,0.992,0.99796,0
blur_s1.0,1000,0.983,0.972,0.994,0.998108,0
blur_s2.0,1000,0.968,0.944,0.992,0.995232,0
resize_0.5x,1000,0.973,0.952,0.994,0.9976320000000001,0
resize_0.25x,1000,0.982,0.974,0.99,0.997768,0
noise_s0.02,1000,0.97,0.968,0.972,0.996888,0
noise_s0.05,1000,0.971,0.98,0.962,0.9956360000000001,0
noise_s0.1,1000,0.97,0.992,0.948,0.996272,0
jitter_20pct,1000,0.967,0.94,0.994,0.996332,0
crop_80pct,1000,0.969,0.966,0.972,0.99468,0
