transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.965,0.944,0.986,0.995564,0
jpeg_q90,1000,0.971,0.952,0.99,0.995824,0
jpeg_q70,1000,0.972,0.964,0.98,0.9959640000000001,0
jpeg_q50,1000,0.973,0.962,0.984,0.996768,0
jpeg_q30,1000,0.978,0.978,0.978,0.99678,0
blur_s0.5,1000,0.976,0.966,0.986,0.99698,0
blur_s1.0,1000,0.982,0.978,0.986,0.9974000000000001,0
blur_s2.0,1000,0.967,0.964,0.97,0.994364,0
resize_0.5x,1000,0.972,0.956,0.988,0.9967360000000001,0
resize_0.25x,1000,0.978,0.978,0.978,0.997476,0
jitter_20pct,1000,0.963,0.938,0.988,0.9948159999999999,0
crop_80pct,1000,0.959,0.968,0.95,0.9938359999999999,0
