transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.946,0.984,0.908,0.9937119999999999,0
jpeg_q90,1000,0.947,0.984,0.91,0.993752,0
jpeg_q70,1000,0.944,0.99,0.898,0.9946360000000001,0
jpeg_q50,1000,0.95,0.988,0.912,0.99494,0
jpeg_q30,1000,0.946,0.996,0.896,0.9957320000000001,0
blur_s0.5,1000,0.948,0.992,0.904,0.995576,0
blur_s1.0,1000,0.944,0.994,0.894,0.9961800000000001,0
blur_s2.0,1000,0.94,0.99,0.89,0.9935080000000001,0
resize_0.5x,1000,0.947,0.984,0.91,0.994336,0
resize_0.25x,1000,0.945,0.992,0.898,0.9961800000000001,0
jitter_20pct,1000,0.944,0.98,0.908,0.9935320000000001,0
crop_80pct,1000,0.915,0.99,0.84,0.990888,0
