transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.92,0.962,0.878,0.980828,0
jpeg_q90,1000,0.92,0.964,0.876,0.980944,0
jpeg_q70,1000,0.911,0.968,0.854,0.9806320000000001,0
jpeg_q50,1000,0.911,0.964,0.858,0.9788159999999999,0
jpeg_q30,1000,0.907,0.978,0.836,0.9790359999999999,0
blur_s0.5,1000,0.927,0.976,0.878,0.985184,0
blur_s1.0,1000,0.926,0.978,0.874,0.9853080000000001,0
blur_s2.0,1000,0.902,0.944,0.86,0.972896,0
resize_0.5x,1000,0.911,0.942,0.88,0.976272,0
resize_0.25x,1000,0.908,0.936,0.88,0.9746040000000001,0
noise_s0.02,1000,0.878,0.994,0.762,0.9863839999999999,0
noise_s0.05,1000,0.814,0.998,0.63,0.987076,0
noise_s0.1,1000,0.781,1.0,0.562,0.990824,0
jitter_20pct,1000,0.915,0.966,0.864,0.98068,0
crop_80pct,1000,0.877,0.988,0.766,0.975888,0
