transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.927,0.906,0.948,0.9836159999999999,0
jpeg_q90,1000,0.927,0.908,0.946,0.982828,0
jpeg_q70,1000,0.935,0.93,0.94,0.985332,0
jpeg_q50,1000,0.925,0.91,0.94,0.98254,0
jpeg_q30,1000,0.941,0.948,0.934,0.985128,0
blur_s0.5,1000,0.939,0.934,0.944,0.9877960000000001,0
blur_s1.0,1000,0.945,0.95,0.94,0.988564,0
blur_s2.0,1000,0.918,0.916,0.92,0.977712,0
resize_0.5x,1000,0.928,0.906,0.95,0.98248,0
resize_0.25x,1000,0.929,0.918,0.94,0.984024,0
jitter_20pct,1000,0.931,0.914,0.948,0.9840439999999999,0
crop_80pct,1000,0.921,0.946,0.896,0.9781040000000001,0
