transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.954,0.978,0.93,0.994076,0
jpeg_q90,1000,0.951,0.976,0.926,0.9940439999999999,0
jpeg_q70,1000,0.953,0.984,0.922,0.994896,0
jpeg_q50,1000,0.958,0.986,0.93,0.9952080000000001,0
jpeg_q30,1000,0.954,0.994,0.914,0.995876,0
blur_s0.5,1000,0.954,0.986,0.922,0.995788,0
blur_s1.0,1000,0.951,0.99,0.912,0.9964360000000001,0
blur_s2.0,1000,0.945,0.988,0.902,0.9938880000000001,0
resize_0.5x,1000,0.954,0.982,0.926,0.994696,0
resize_0.25x,1000,0.953,0.99,0.916,0.996484,0
jitter_20pct,1000,0.953,0.976,0.93,0.9938,0
crop_80pct,1000,0.927,0.988,0.866,0.9913000000000001,0
