transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.921,0.976,0.866,0.982432,0
jpeg_q90,1000,0.921,0.98,0.862,0.982552,0
jpeg_q70,1000,0.906,0.98,0.832,0.9824360000000001,0
jpeg_q50,1000,0.916,0.984,0.848,0.980456,0
jpeg_q30,1000,0.897,0.984,0.81,0.9812119999999999,0
blur_s0.5,1000,0.926,0.988,0.864,0.9865400000000001,0
blur_s1.0,1000,0.92,0.982,0.858,0.986824,0
blur_s2.0,1000,0.9,0.96,0.84,0.975892,0
resize_0.5x,1000,0.909,0.956,0.862,0.9784919999999999,0
resize_0.25x,1000,0.909,0.952,0.866,0.978064,0
noise_s0.02,1000,0.864,0.996,0.732,0.9877360000000001,0
noise_s0.05,1000,0.795,1.0,0.59,0.988552,0
noise_s0.1,1000,0.764,1.0,0.528,0.9920439999999999,0
jitter_20pct,1000,0.907,0.974,0.84,0.982496,0
crop_80pct,1000,0.871,0.99,0.752,0.978276,0
