transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.964,0.944,0.984,0.9958039999999999,0
jpeg_q90,1000,0.971,0.96,0.982,0.9961679999999999,0
jpeg_q70,1000,0.972,0.968,0.976,0.99648,0
jpeg_q50,1000,0.974,0.97,0.978,0.997424,0
jpeg_q30,1000,0.978,0.982,0.974,0.997244,0
blur_s0.5,1000,0.976,0.968,0.984,0.9971399999999999,0
blur_s1.0,1000,0.98,0.978,0.982,0.9976160000000001,0
blur_s2.0,1000,0.968,0.966,0.97,0.994748,0
resize_0.5x,1000,0.969,0.956,0.982,0.9967759999999999,0
resize_0.25x,1000,0.978,0.976,0.98,0.9974040000000001,0
jitter_20pct,1000,0.964,0.938,0.99,0.995228,0
crop_80pct,1000,0.959,0.974,0.944,0.994176,0
