transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.983,0.976,0.99,0.998076,0
jpeg_q90,1000,0.979,0.968,0.99,0.9970080000000001,0
jpeg_q70,1000,0.978,0.97,0.986,0.997144,0
jpeg_q50,1000,0.978,0.966,0.99,0.9978199999999999,0
jpeg_q30,1000,0.986,0.986,0.986,0.998156,0
blur_s0.5,1000,0.985,0.98,0.99,0.998632,0
blur_s1.0,1000,0.985,0.98,0.99,0.998712,0
blur_s2.0,1000,0.974,0.962,0.986,0.996804,0
resize_0.5x,1000,0.983,0.976,0.99,0.99862,0
resize_0.25x,1000,0.983,0.98,0.986,0.998556,0
noise_s0.02,1000,0.98,0.99,0.97,0.9971559999999999,0
noise_s0.05,1000,0.973,0.988,0.958,0.995828,0
noise_s0.1,1000,0.973,0.99,0.956,0.995832,0
jitter_20pct,1000,0.978,0.966,0.99,0.997288,0
crop_80pct,1000,0.975,0.972,0.978,0.9963279999999999,0
