transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.926,0.908,0.944,0.9832559999999999,0
jpeg_q90,1000,0.924,0.906,0.942,0.982532,0
jpeg_q70,1000,0.933,0.928,0.938,0.985108,0
jpeg_q50,1000,0.923,0.908,0.938,0.9823200000000001,0
jpeg_q30,1000,0.938,0.946,0.93,0.9850439999999999,0
blur_s0.5,1000,0.942,0.94,0.944,0.987444,0
blur_s1.0,1000,0.944,0.952,0.936,0.98826,0
blur_s2.0,1000,0.914,0.91,0.918,0.977192,0
resize_0.5x,1000,0.921,0.898,0.944,0.98194,0
resize_0.25x,1000,0.925,0.914,0.936,0.9836119999999999,0
noise_s0.02,1000,0.928,0.96,0.896,0.984848,0
noise_s0.05,1000,0.93,0.978,0.882,0.985924,0
noise_s0.1,1000,0.923,0.986,0.86,0.9905600000000001,0
jitter_20pct,1000,0.928,0.916,0.94,0.982992,0
crop_80pct,1000,0.92,0.946,0.894,0.977568,0
