transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.963,0.932,0.994,0.997368,0
jpeg_q90,1000,0.966,0.938,0.994,0.997036,0
jpeg_q70,1000,0.976,0.96,0.992,0.997084,0
jpeg_q50,1000,0.968,0.944,0.992,0.9976,0
jpeg_q30,1000,0.98,0.968,0.992,0.9979,0
blur_s0.5,1000,0.978,0.962,0.994,0.9981720000000001,0
blur_s1.0,1000,0.979,0.964,0.994,0.9982880000000001,0
blur_s2.0,1000,0.959,0.926,0.992,0.9953240000000001,0
resize_0.5x,1000,0.966,0.938,0.994,0.99802,0
resize_0.25x,1000,0.977,0.96,0.994,0.997956,0
noise_s0.02,1000,0.973,0.966,0.98,0.9969239999999999,0
noise_s0.05,1000,0.972,0.972,0.972,0.9956360000000001,0
noise_s0.1,1000,0.977,0.98,0.974,0.995964,0
jitter_20pct,1000,0.964,0.934,0.994,0.996752,0
crop_80pct,1000,0.97,0.958,0.982,0.9950159999999999,0
